attendance,quiz,assignment,midterm,final_grade
92,46,24,88,A
88,44,23,85,A
95,48,25,90,A
90,45,24,87,A
85,43,22,83,A
93,47,25,91,A
87,44,23,86,A
96,49,25,93,A
89,46,24,88,A
91,45,23,84,A
78,38,19,72,B
80,40,20,70,B
75,36,18,68,B
82,39,20,74,B
77,37,19,71,B
73,35,17,65,B
79,41,21,73,B
76,38,19,69,B
83,42,21,75,B
74,36,18,67,B
65,28,14,55,C
60,25,13,50,C
68,30,15,58,C
63,27,14,53,C
70,32,16,60,C
58,24,12,48,C
66,29,14,56,C
62,26,13,51,C
67,31,15,57,C
59,25,12,49,C
45,20,10,40,D
50,22,11,38,D
40,18,9,42,D
48,21,10,36,D
42,19,9,38,D
30,35,17,65,D
25,38,18,60,D
35,30,15,62,D
38,16,8,35,D
44,20,10,37,D
15,10,5,20,F
10,8,4,18,F
20,12,6,22,F
18,9,4,19,F
12,11,5,21,F
55,10,4,15,F
60,8,3,12,F
22,15,7,25,F
28,13,6,23,F
14,9,4,17,F
